,silhouette,davies_bouldin,calinski_harabasz,n_clusters
kmeans_k3,0.17213100885229754,2.1081531249211967,489.92194893858357,3.0
agglomerative_k3,0.1620386991626727,2.3378536840492568,412.4569603317009,3.0
gmm_k3,0.18919560209329994,2.169903702094368,434.83593983224154,3.0
kmeans_k4,0.1712941346146547,2.105564421327256,399.07334658276574,4.0
agglomerative_k4,0.1713021261569401,1.9937227080153814,331.35888692788916,4.0
gmm_k4,0.20995156849164776,2.423037268206795,305.40549687371293,4.0
kmeans_k5,0.11217250687644387,2.237660952715271,341.4217236824981,5.0
agglomerative_k5,0.17987046136755522,1.8925578644773822,292.0982401379318,5.0
gmm_k5,0.0971407263616865,2.3842926901624146,263.79073572933004,5.0
kmeans_k6,0.11881690703800074,2.0661186013896122,308.07604496765083,6.0
agglomerative_k6,0.18021750352827537,1.9584233882285773,268.2619581192387,6.0
gmm_k6,0.0861373782426124,2.3484560831084837,227.84872066764888,6.0
